﻿system_reference_number,facility_name,unit_name_and_description,form_score,patient_comments,Sentiment Score,Translated Text,Misspelled Words
OP-DPOS-2023-225-458728,Leratong Regional Hospital,Eye clinic,0.28,most people are sent back to do the vitals and they do not know where to start after they recieve the file,0.2732,most people are sent back to do the vitals and they do not know where to start after they recieve the file,recieve
OP-DPOS-2023-225-411582,Leratong Regional Hospital,Eye clinic,0.22,The nurses are friendly and they care about our well being,0.8176,The nurses are friendly and they care about our well being,
OP-DPOS-2023-225-906073,Leratong Regional Hospital,Eye clinic,1,"The service is good, keep it up",0.4404,"The service is good, keep it up","good,"
OP-DPOS-2023-225-311105,Leratong Regional Hospital,Eye clinic,1,Please guide patient to do vitals after collecting file from reception,0.5267,Please guide patient to do vitals after collecting file from reception,
OP-DPOS-2023-225-721196,Leratong Regional Hospital,Eye clinic,1,i was treated very well at Leratong. ,0.3384,i was treated very well at Leratong. ,leratong.
OP-DPOS-2023-225-344153,Leratong Regional Hospital,OPD,0.78,WAITING PERIOD IN HOSPITAL OF 150 MIN CAN BE REDUCED TO AT LEAST 60MIN TO 90MIN MANY TIMES WE COME EARLY AND GO HME AFTER 6HRS,0.0,WAITING PERIOD IN HOSPITAL OF 150 MIN CAN BE REDUCED TO AT LEAST 60MIN TO 90MIN MANY TIMES WE COME EARLY AND GO HME AFTER 6HRS,"60min,6hrs,90min,hme"
OP-DPOS-2023-225-090954,Leratong Regional Hospital,AUDIOLOGY,0.44,CURRENTLY THE PERSON WHO WAS HELPING WAS  VERY MUCH WELCOMING AND NICE.SHE EPLAINED EVERYTHING TO ME AND I WAS ABLE TO UNDERSTAND.,0.6573,CURRENTLY THE PERSON WHO WAS HELPING WAS  VERY MUCH WELCOMING AND NICE.SHE EPLAINED EVERYTHING TO ME AND I WAS ABLE TO UNDERSTAND.,"understand.,nice.she,eplained"
OP-DPOS-2023-398-278837,Tembisa Tertiary Hospital,Eye Clinic,1,I had an operation and my eye is recovering very well.,0.3384,I had an operation and my eye is recovering very well.,well.
OP-DPOS-2023-398-009173,Tembisa Tertiary Hospital,Eye Clinic,1,"I had something in my eye then the doctor removed it, I'm so happy.",0.6948,"I had something in my eye then the doctor removed it, I'm so happy.","it,,happy."
OP-DPOS-2023-398-508101,Tembisa Tertiary Hospital,Eye Clinic,0.94,I was been served with a smile,0.3612,I was been served with a smile,
OP-DPOS-2023-398-976776,Tembisa Tertiary Hospital,Eye Clinic,1,The communication is good,0.4404,The communication is good,
OP-DPOS-2023-398-830786,Tembisa Tertiary Hospital,Eye Clinic,1,I was been served well.,0.2732,I was been served well.,well.
OP-DPOS-2023-398-120573,Tembisa Tertiary Hospital,Eye Clinic,1,I cannot complain the service was good.,0.6136,I cannot complain the service was good.,good.
OP-DPOS-2023-398-354723,Tembisa Tertiary Hospital,Eye Clinic,1,I was been served with a smile.,0.3612,I was been served with a smile.,smile.
OP-DPOS-2023-225-861347,Leratong Regional Hospital,ANC,0.44,THE NURSES TREATED US VERY WELL AND THIER SERVICE IS REALLY GOOD AND FAST.,0.6794,THE NURSES TREATED US VERY WELL AND THIER SERVICE IS REALLY GOOD AND FAST.,"fast.,thier"
OP-DPOS-2023-398-456097,Tembisa Tertiary Hospital,Eye Clinic,1,"I was had something in my eye then the doctor removed it, I am so happy with the service",0.6948,"I was had something in my eye then the doctor removed it, I am so happy with the service","it,"
OP-DPOS-2023-225-637821,Leratong Regional Hospital,ANC,0.83,HONESTLY SPEAKING I HAVE NO COMPLAINT ABOUT THE STUFF. I HAVE RECIEVED THE BEST CARE FROM THEM ALL. THANK YOU.,0.8591,HONESTLY SPEAKING I HAVE NO COMPLAINT ABOUT THE STUFF. I HAVE RECIEVED THE BEST CARE FROM THEM ALL. THANK YOU.,"recieved,stuff.,you.,all."
OP-DPOS-2023-398-151131,Tembisa Tertiary Hospital,Eye Clinic,1,Im happy with their service,0.5719,Im happy with their service,
OP-DPOS-2023-398-266950,Tembisa Tertiary Hospital,Eye Clinic,1,Served with a smile.,0.3612,Served with a smile.,smile.
OP-DPOS-2023-225-831638,Leratong Regional Hospital,ANC,0.39,THEY HAVE BEEN GOOD TO ME AND EVEN THE TREATMENT WAS WELL.,0.6124,THEY HAVE BEEN GOOD TO ME AND EVEN THE TREATMENT WAS WELL.,well.
OP-DPOS-2023-398-073569,Tembisa Tertiary Hospital,WHC,0.89,"There service a good, That its everything was wow",0.7717,"There service a good, That its everything was wow","good,"
OP-DPOS-2023-225-250903,Leratong Regional Hospital,ANC,0.39,THE SERVISE WAS GOOD,0.4404,THE SERVISE WAS GOOD,servise
OP-DPOS-2023-225-348871,Leratong Regional Hospital,ANC,0.5,DOCTORS AND NURSES ARE GOOD TO ME AND THEY ARE SO WELCOMING.,0.7264,DOCTORS AND NURSES ARE GOOD TO ME AND THEY ARE SO WELCOMING.,welcoming.
OP-DPOS-2023-398-030190,Tembisa Tertiary Hospital,Eye Clinic,1,Now I understand everything about my eye ,0.0,Now I understand everything about my eye ,
OP-DPOS-2023-398-234450,Tembisa Tertiary Hospital,Eye Clinic,1,Everything was well explained about my eyes.,0.2732,Everything was well explained about my eyes.,eyes.
OP-DPOS-2023-398-968909,Tembisa Tertiary Hospital,Eye Clinic,1,Served wuth a smile.,0.3612,Served wuth a smile.,"wuth,smile."
OP-DPOS-2023-225-240051,Leratong Regional Hospital,RENAL,0.89,"SO FOR I AM VER HAPPY WITH STUFF OF RENAL. 

THANK YOU",0.7351,"SO FOR I AM VER HAPPY WITH STUFF OF RENAL. 

THANK YOU",renal.
OP-DPOS-2023-398-564028,Tembisa Tertiary Hospital,Eye Clinic,1,Had a good service.,0.4404,Had a good service.,service.
OP-DPOS-2023-398-953126,Tembisa Tertiary Hospital,Eye Clinic,1,Served well.,0.2732,Served well.,well.
OP-DPOS-2023-398-592956,Tembisa Tertiary Hospital,Eye Clinic,1,I had a great service.,0.6249,I had a great service.,service.
OP-DPOS-2023-398-240577,Tembisa Tertiary Hospital,Eye Clinic,1,Serving with smile.,0.3612,Serving with smile.,smile.
OP-DPOS-2023-398-487779,Tembisa Tertiary Hospital,Eye Clinic,1,I'M HAPPY WITH THEIR HEALTH SERVICE,0.5719,I'M HAPPY WITH THEIR HEALTH SERVICE,
OP-DPOS-2023-398-743082,Tembisa Tertiary Hospital,Eye Clinic,1,Excellent Service,0.5719,Excellent Service,
OP-DPOS-2023-398-675451,Tembisa Tertiary Hospital,Eye Clinic,1,Service good.,0.4404,Service good.,good.
OP-DPOS-2023-398-010297,Tembisa Tertiary Hospital,Eye Clinic,1,Service is good.,0.4404,Service is good.,good.
OP-DPOS-2023-398-916915,Tembisa Tertiary Hospital,Eye Clinic,1,I'm happy with their service,0.5719,I'm happy with their service,
OP-DPOS-2023-398-082320,Tembisa Tertiary Hospital,Eye Clinic,1,Good service,0.4404,Good service,
OP-DPOS-2023-398-500464,Tembisa Tertiary Hospital,Eye Clinic,1,EXCELLENT SERVICE,0.5719,Excellent service,
OP-DPOS-2023-398-789089,Tembisa Tertiary Hospital,Eye Clinic,1,Did operation now I can see.,0.0,Did operation now I can see.,see.
OP-DPOS-2023-398-574962,Tembisa Tertiary Hospital,Eye Clinic,1,Served well and the service was good.,0.6124,Served well and the service was good.,good.
OP-DPOS-2023-398-246799,Tembisa Tertiary Hospital,Eye Clinic,1,Well welomed and best service.,0.743,Well welomed and best service.,"welomed,service."
OP-DPOS-2023-398-287433,Tembisa Tertiary Hospital,Eye Clinic,1,Service is good.,0.4404,Service is good.,good.
OP-DPOS-2023-398-292216,Tembisa Tertiary Hospital,Eye Clinic,1,I'm happy with their service,0.5719,I'm happy with their service,
OP-DPOS-2023-398-767203,Tembisa Tertiary Hospital,Eye Clinic,1,Good service,0.4404,Good service,
OP-DPOS-2023-398-844085,Tembisa Tertiary Hospital,Eye Clinic,1,EXCELLENT SERVICE,0.5719,Excellent service,
OP-DPOS-2023-398-027034,Tembisa Tertiary Hospital,Eye Clinic,1,Did operaion now I Can see.,0.0,Did operaion now I Can see.,"see.,operaion"
OP-DPOS-2023-398-617586,Tembisa Tertiary Hospital,Eye Clinic,1,First time coming to eye clinic and I had been assessed by the doctorand the staff had helped me and served me with a smile.,0.3612,First time coming to eye clinic and I had been assessed by the doctorand the staff had helped me and served me with a smile.,"smile.,doctorand"
OP-DPOS-2023-398-472537,Tembisa Tertiary Hospital,Eye Clinic,1,"I come with my injured Right eye now it has been healed, I had a good service",0.0516,"I come with my injured Right eye now it has been healed, I had a good service","healed,"
OP-DPOS-2023-398-941638,Tembisa Tertiary Hospital,Eye Clinic,1,Served with a smile,0.3612,Served with a smile,
OP-DPOS-2023-398-032440,Tembisa Tertiary Hospital,Eye Clinic,1,Good service,0.4404,Good service,
OP-DPOS-2023-398-853247,Tembisa Tertiary Hospital,Eye Clinic,1,I was served with a smile,0.3612,I was served with a smile,
OP-DPOS-2023-398-830273,Tembisa Tertiary Hospital,Eye Clinic,1,I had an operation and my eye is recovering very well.,0.3384,I had an operation and my eye is recovering very well.,well.
OP-DPOS-2023-398-472358,Tembisa Tertiary Hospital,Eye Clinic,1,Good communication,0.4404,Good communication,
OP-DPOS-2023-398-145201,Tembisa Tertiary Hospital,Wound Clinic ,1,i am a mother of Lethabo they treat me well.,0.5859,i am a mother of Lethabo they treat me well.,"lethabo,well."
